Organismgrupp,TaxonId,Vetenskapligt namn (vid riskklassificeringens genomförande),Auktor,Svenskt namn,Artens status,Ursprunglig utbredning,"Riskkategori, utfall enligt GEIAA metodik",Utslagsgivande kriterier,Summering,Invasionspotential,Ekologisk effekt,Effekt av klimatförändring på invasionspotential,Effekt av klimatförändring på ekologisk effekt,"Klimatförändring, betydelse",Livsmiljö,Referenser
Kärlväxter,6328198,Celastrus scandens,L.,amerikansk träddödare,Dörrknackare,,NK,"1,1",Amerikansk träddödare är en klattrande buske med svarta bär. Svår att skilja från andra träddödare.,"Arten har låg spridningspotential, och kan kommer att etableras vid ett för arten lämpligare klimat.",Möjligt att arten kan ha samma klättrande och täckande effekt som andra arter i släktet.,,,,Terrester,
Övriga organismer,6330486,Celleporaria brunnea,"(Hincks, 1884)",,Dörrknackare,"Artens ursprung är inte helt klarlagt, men är sannolikt från nordöstra Stilla havet, beskriven från British Columbia med utbredning till Galapagosöarna.",LO,"3A,1","Celleporaria brunnea är ett kolonibildande mossdjur som bildar en skorpa på hårda underlag. Arten finns på grunt vatten, funnen på stenar, klippor, grovsand, musslor och alla möjliga artificiella substrat i vikar, laguner och hamnar.","C. brunnea kan komma till Sverige som påväxt på båtar eller andra flytande föremål. Artens utbredning hittills i Europa tyder på att den föredrar varmare vatten, men då den är vanlig längs hela Stillahavskusten norrut till Kanada skulle den också kunna etablera sig längs svenska västkusten.","Det finns inga dokumenterade ekologiska effekter orsakade av C. brunnea, men arten är vanlig påväxt på blåmusslor med vilka de kan konkurrera om mat. Den kan även konkurrera med hårdbottenlevande arter om utrymme och mat.",yes,yes,"Sannolikt, då artens utbredning i Europa är från Medelhavet och södra Nordostatlanten.",Marin,"Lezzi, M., Pierri, C. & Cardone, F. (2015). Presence of Celleporaria brunnea (Bryozoa: Lepraliellidae) in the Central Mediterranean: ﬁrst occurrence in the Gulf of Taranto. Marine Biodiversity Records  8(e137). https://doi.org/10.1017/S1755267215001116
Canning-Clode, J., Souto, J. & McCann, L. (2013). First record of Celleporaria brunnea (Bryozoa: lepraliellidae) in Portugal and in the East Atlantic. Marine Biodiversity Records 6(108). https://doi.org/10.1017/S1755267213000821
Lodola, A., Ferrario, J. & Occhipinti, A. (2015). Further mediterranean expansions of the non-indigenous bryozoan Celleporaria brunnea: multiple records along the Italian coast.  Scientia Marina 79(2), 263–274.  https://doi.org/10.3989/scimar.04174.31A"
Övriga organismer,6330855,Celtodoryx ciocalyptoides,"(Burton, 1935)",,Dörrknackare,"Arten kommer ursprungligen från nordvästra Stilla havet (Ryssland, Kina, Japan och Sydkorea)",LO,"2A,1","Svampdjuret Celtodoryx ciocalyptoides återfinns på hårda ytor eller bottnar, på grunt vatten (2,5-38 m), där den bildar kolonier som skorpor eller mattor. Arten tolererar temperaturer mellan 4 och 25 °C, men tillväxten reduceras kalla vintrar. Den återfinns i salthalter mellan 31 – 32.5 ppt.","Arten har sedan 1996 bara rapporterats från Bretagne och Normandie i Frankrike och ett område i Nederländerna, men har blivit talrik och expanderat i de områden där den är etablerad. Hittills (2024) har ingen vidare spridning av arten till andra områden rapporterats. Arten skulle kunna spridas till Sverige som påväxt på båtar, men etablering av arten begränsas sannolikt av kalla vintrar. I de områden C. ciocalyptoides hittills haft lokal stor spridning (Frankrike och Nederländerna) är salthalten 31 - 32,5 ppt, vilket sällan uppmäts på grunt vatten i Sverige.","C. ciocalyptoides konkurrerar om utrymme med andra horn- och kiselsvampar, som t.ex. Amphilectus fucorum (Perez m.fl. 2006). Där arten blivit talrik bildar den täckande mattor över inhemska fastsittande arter. ",yes,yes,Artens utbredning minskar kalla vintrar i Frankrike (Perez m.fl. 2006),Marin,"Shalaeva, E. (2015). Celtodoryx ciocalyptoides. CABI Compendium. https://doi.org/10.1079/cabicompendium.120868 [2024-12-06]
van Soest, R.W.M., de Kluijver, M.J., van Bragt, P.H., Faasse, M., Nijland, R., Beglinger, E.J., de Weerdt, W.H. & Voogd, N.J. (2007). Sponge invaders in Dutch coastal waters.  Journal of the Marine Biological Association of the UK  87, 1733–1748.  https://doi.org/10.1017/S002531540705816X
Perez, T., Perrin, B., Carteron, S., Vacelet, J. & Boury-Esnault, N. (2006). Celtodoryx girardae gen. nov. sp. nov., a new sponge species (Poecilosclerida: Demospongiae) invading the Gulf of Morbihan (North East Atlantic, France).  Cahier de biologie marine 47, 205–214.
Gentric, C. & Sauleau, P. (2016). Distribution, abundance and pollution tolerance of the marine inva-sive sponge Celtodoryx ciocalyptoides (Burton, 1935) in the Etel River.  Cahiers de Biologie Marine 57, 57–64."
Kärlväxter,264403,Cenchrus setaceus,(Forssk.) Morrone,fjäderborstgräs,Dörrknackare,,NK,"1,1","Fjäderborstgräs är med på EUs lista för invasiva främmande arter. Arten är anpassad till torrt subtropiskt klimat. Det är ett flerårigt tuvat gräs som kännetecknas av smala, bågböjda blad som kan bli upp till 60 cm långa och 0,2–0,4 cm breda. Blomställningarna är cylindriska, rosa till purpurfärgade ax som mäter 8–35 cm i längd. Växten kan nå en höjd på upp till 1,5 meter. Arten är känd för snabb reproduktion och spridning.Den är anpassad till torra miljöer och är både torktålig och motståndskraftig mot betning av djur. Växten föredrar full sol till halvskugga och kan etablera sig i en mängd olika jordtyper. Beräknas dock ej kunna bli bofast i Sverige inom 50 år.",Fjäderborstgräs beräknas ej kunna bli bofast i Sverige inom 50 år. Där den överlever kan den bilda täta bestånd som konkurrerar med inhemska växter.,"Eftersom fjäderborstgräs ej beräknas bli bofast i Sverige inom 50 år saknas negativ ekologisk effekt i Sverige. I områden där arten har introducerats och överlever har den visat förmåga att sprida sig till naturliga habitat, såsom vägkanter, vattendrag och öppna skogsområden.",yes,yes,Arten bör inte kunna etablera inom de närmaste 50 åren av klimatologiska orsaker,Terrester,"SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-09]
SLU Artdatabanken (2024). Artfakta: Cenchrus setaceus.  https://artfakta.se/taxa/264403  [2024-09-10]
Naturvårdsverket (2024). Fjäderborstgräs. https://www.naturvardsverket.se/amnesomraden/invasiva-frammande-arter/Arter/eu-listade-arter-som-forekommer-sporadiskt/fjaderborstgras/  [2024-09-10]
European and Mediterranean Plant Protection Organization  (2024). EPPO Global Database. https://gd.eppo.int/  [2024-09-09]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-09-09]"
Kärlväxter,223663,Centaurea cheiranthifolia var. cheiranthifolia,,gul kamklint,Främmande art,Turkiet och Kaukasus,NK,"1,1","Gul kamklint är en flerårig ört hemmahörande i Turkiet och Kaukasus. Den kännetecknas av stora, elfenbensvita till blekgula blommor som sitter ovanför silvriga blad. Bladen är gröna med en vitaktig undersida, och växten har en tuvbildande växtsätt. en har introducerats i Sverige, där den odlas som prydnadsväxt.",Gul kamklint bedöms ha låg invasionspotential. Arten förekommer i dag endast enstaka i naturliga miljöer och bedöms inte heller spridas dit i större omfattning under de närmaste 50 åren. Troligare är att den försvinner på de två lokaler som den finns på nu än att den expanderar.,Ingen känd eller förväntad ekologisk effekt av gul kamklint i svensk natur.,unknown,unknown,,Terrester,"SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-16]
Johansson, B.G., Petersson, J. & Ingmansson, G. (2016). Gotlands flora. Uppsala: SBF-förlaget.
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org  [2024-09-16]"
Kärlväxter,220055,Centaurea macrocephala,Muss.Puschk. ex Willd.,gulklint,Främmande art,Ursprung Turkiet til Iran.,PH,"4A,1",Gulklint är en perenn gulblommande klint som odlas till prydnad. Arten säljs i mindre omfattning av plantskolor 2024.,"Gulklint bedöms ha en hög invasionspotential, med osäkerhet mot måttlig. Där arten odlats verkar den påfallande ofta också ha spridit sig vidare med frön ut i omgivande mer naturlig vegetation så på sikt, eller om odlingen ökar, kan nog spridningen ta fart.","Gulklint har ingen känd effekt i Europa eller Sverige. Den introducerades enligt uppgift till Storbritannien 1805 och dess närvaro i USA går tillbaka till åtminstone 1812. Den är listad som ett skadligt ogräs av klass A i delstaten Washington, USA och är ett förbjudet skadligt ogräs i Alberta, Kanada. Där hotar arten naturliga ängar och sprider sig i störda områden och när den väl har etablerat sig är den svår att kontrollera (CABI 2024).",yes,yes,,Terrester,"SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-09]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-09-09]
CABI (2024). Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabidigitallibrary.org/  [2024-09-09]"
Kärlväxter,220057,Centaurea melitensis,L.,maltaklint,Dörrknackare,Ursprung medelhavsområdet.,LO,"2A,1",Maltaklint är en ett- till tvåårig ört med ursprung i Medelhavsområdet.,Ingen spridning vidare i naturen har observerats i Sverige.,"Det finns ingen känd effekt i Sverige.
Maltaklint har sitt ursprung i Medelhavsområdet och har framgångsrikt invaderat liknande klimat i USA, Nya Zeeland, Australien och Sydamerika. I gynnsamma livsmiljöer kan den bilda täta bestånd som ersätter inhemsk vegetation. Maltaklint invaderar vanligtvis öppna, störda platser och sprids ofta av människor och boskap och genom transport av förorenad jord, utsäde eller hö (CABI 2024).",yes,yes,,Terrester,"SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-09]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-09-09]
Georgson, K., Johansson, B., Johansson, Y., Kuylenstierna, J., Lenfors, I. & Nilsson, N.-G. (1997). Hallands flora. Lund: SBF-förlaget.
CABI (2024). Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabidigitallibrary.org/  [2024-09-09]"
Kärlväxter,220058,Centaurea montana,L.,bergklint,Främmande art,,SE,"4AB,3D",Bergklint är en flerårig ört som ofta blir över en halvmeter hög. Den härstammar från Mellan- och Sydeuropa.,Bergklint bedöms ha hög invasionspotential. Arten sprider sig och är anpassningsbar till olika typer av habitat och jordmåner.,Bergklint kan bilda täta bestånd som kan konkurrera och tränga undan andra arter.,yes,yes,Arten bör gynnas av ett mildare klimat.,Terrester,"Ståhl, P. (2016). Gästriklands flora. Uppsala: SBF-förlaget.
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-09]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-09-09]"
Kärlväxter,220067,Centaurea stoebe,L.,sandklint,Främmande art,"C, Ö och S Europa",SE,"3AC,4DF",Sandklint är en tvåårig ört hemmahörande i centrala södra och östra Europa.,Sandklint bedöms ha måttlig till hög invasionspotential.,Sandklint förekommer i miljöer (bland annat sandstäpp) där även rödlistade arter förekommer och konkurrens om växtplatsen kan vara på bekostnad av sådana arter. Arten kan även hybridisera med vår inhemska rödklint.,unknown,unknown,,Terrester,"Mossberg, B. & Stenberg, L. (2003). Den nya nordiska floran. Stockholm: Wahlström & Widstrand.
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-09]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-09-09]
Mossberg, B. & Stenberg, L. (2018). Nordens flora. Stockholm: Bonnier Fakta."
Kärlväxter,221013,Centranthus ruber,(L.) DC.,pipört,Främmande art,"Azorerna, Madeira, Kanarieöarna, Medelhavsområdet och Krim",HI,"4A,2DFG","Pipört är en flerårig ört hemmahörande på Azorerna, Madeira, Kanarieöarna, Medelhavsområdet och Krim.",Pipört bedöms ha en hög till måttlig invasionspotential. Arten förekommer på enstaka platser i naturliga miljöer och riskerar att sprida sig framöver.,"Pipört bildar täta sammanhängande bestånd när den får fäste på alvar, i kalkrika klapperstensvallar eller liknande miljöer. Arten har ingen känd ekologisk effekt inom andra naturtyper. Med ett varmare klimat skulle arten dock kunna komma att etablera sig i andra torrare, kalkrika miljöer.",yes,yes,,Terrester,"Hartvig, P. (2015). Atlas Flora Danica. Köpenhamn: Gyldendal.
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-09-09]
CABI (2024). Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabidigitallibrary.org/  [2024-09-09]
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-09]
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]"
Kärlväxter,219771,Cephalaria alpina,(L.) Roem. & Schult.,alpjättevädd,Främmande art,"Jura, C och SV Alperna, N Apenninerna",LO,"2A,1","Alpjättebädd är en flerårig ört hemmahörande i Centraleuropa (Jura, Alperna och Apenninerna). Den är en flerårig ört och kännetecknas av upprätta, förgrenade stjälkar som kan bli upp till 1,8 meter höga. Bladen är flikiga, tandade och håriga, medan blommorna är blekgula och liknar små nåldynor. Blomningen sker under sommaren, vanligtvis från juni till augusti.",Alpjättevädd bedöms ha låg invasionspotential. Spridning ut i naturliga miljöer har inte påvisats och bedöms heller inte ske i större omfattning under kommande 50 år. ,Alpjättevädd har ingen känd eller förväntad ekologisk effekt i svensk natur.,yes,yes,,Terrester,"Mossberg, B. & Stenberg, L. (2018). Nordens flora. Stockholm: Bonnier Fakta.
CABI (2024). Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabidigitallibrary.org/  [2024-09-09]
Mossberg, B. & Stenberg, L. (2003). Den nya nordiska floran. Stockholm: Wahlström & Widstrand.
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-09]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-09-09]
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]"
Kärlväxter,221015,Cephalaria gigantea,(Ledeb.) Bobrov,jättevädd,Främmande art,,PH,"4A,1",Jättevädden är en storväxt ört som härstammar från Kaukasus.,Arten bedöms ha hög invasionspotential även om den mest beror på mänsklig aktivitet. I nuläget hittas arten nästan uteslutande i mänskligt påverkade miljöer.,Idag syns inga kända ekologiska effekter. Jättevädd är dock en storväxt och konkurrenskraftig art som kan tränga ut inhemska arter om den sprids mer till naturmiljöer.,yes,yes,Arten bör gynnas av ett mildare klimat.,Terrester,"Mossberg, B. & Stenberg, L. (2018). Nordens flora. Stockholm: Bonnier Fakta.
CABI (2024). Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabidigitallibrary.org/  [2024-09-09]
Hylander, N. (1970). Prima loca plantarum vascularium Sueciae Plantae subspontanae vel in tempore recentiore adventitiae. Svensk Botanisk Tidskrift 64(suppl.).
Botanical Society of the British Isles (BSBI) (2020). Online atlas of the British and Irish flora. https://www.brc.ac.uk/plantatlas/  [2024-09-09]
Hylander, N. (1970). Prima  loca  plantarum  vascularium  Sueciae. Första litteraturuppgift för Sveriges vildväxande kärlväxter jämte uppgifter om första svenska fynd. Förvildade eller i senare tid inkomna växter. Svensk Botanisk Tidskrift 64(Supplement), 1–332.
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-09]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-09-09]
SKUD (2023). Svensk kulturväxtdatabas (SKUD). https://skud.blomsterlandet.se/  [2023-11-06]"
Steklar,233677,Cephalcia lariciphila,"Wachtl, 1898",,Främmande art,,PH,"4AB,1","Cephalcia lariciphila är en ganska bre spinnarstekel med en kroppslängd på mellan 10-12 mm. Arten har kraftigt huvud och kraftiga käkar. Kroppen är svart med benvita fläckar och fält. Den rödaktiga larven spinner ett avlångt silkesrör och livnär sig på unga barr. Arten är helt knuten till lärk, Larix som födokälla.",,,yes,yes,"Påverkan på artens effekter är troliga men ej utredda. Det kan, sett till artens utsprung finnas en känslighet för höga temperaturer. Samtidigt kan träden i övrigt försvagas av värmeperioder, vilket förstärker effekten av stekelns angrepp. Kända utbrott av stekeln i Europa har alla skett i låglänta områden.",Terrester,"Billany, D.J. & Brown, R.M. (1980). The Web-spinning Larch Sawfly, Cephalcia lariciphila Wachtl. (Hymenoptera: Pamphiliidae) A New Pest of Larix in England and Wales. Forestry 53(1), 71–80."
Kärlväxter,220701,Cerastium tomentosum,L.,silverarv,Främmande art,,SE,"4A,3D",Silverarv är en flerårig mattbildande ört som härstammar från södra Europa och används som trädgårdsväxt.,Silverarv bedöms ha en hög invasionspotential även om den till stor del är beroende av människan. Majoriteten av förekomsterna härrör från av människan spridda exemplar. Arten kan dock vara länge kvarstående och sprida sig där den väl blivit etablerad.,Silverarv bildar täta mattor med hjälp av klonal spridning som har förmåga att tränga undan inhemska arter. Dessutom hybridiserar den med den inhemska arten fältarv Cerastium arvense. och skapar hybrider som ofta är ännu värre än den rena arten.,yes,yes,,Terrester,"Hylander, N. (1970). Prima  loca  plantarum  vascularium  Sueciae. Första litteraturuppgift för Sveriges vildväxande kärlväxter jämte uppgifter om första svenska fynd. Förvildade eller i senare tid inkomna växter. Svensk Botanisk Tidskrift 64(Supplement), 1–332.
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-09]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-09-09]
Nilsson, A. (1977). Spontana hybrider mellan fält- och silverlarver (Cerastium arvense x tomentosum). Svensk Botanisk Tidskrift 71, 263–272.  https://uu.diva-portal.org/smash/get/diva2:1202410/FULLTEXT01.pdf
CABI (2024). Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabidigitallibrary.org/  [2024-09-09]
Andersson, U.-B. & Gunnarsson, T. (2024). Ölands flora. Uppsala: SBF-förlag."
Kärlväxter,222388,Ceratochloa sitchensis,(Trin.) Cope & Ryves,sloklosta,Främmande art,Ursprung: västra Nordamerika.,HI,"4A,2DF",Sloklosta är ett ett-eller flerårigt storvuxet gräs hemmahörande i västra Nordamerika.,"Sloklosta antas ha en stor invasionspotential, även om den kan vara beroende av mänsklig påverkan. Arten misstänks kunna expandera vid ett varmare klimat, på liknande sätt som närbesläktade lostor såsom foderlosta Bromopsis inermis redan gjort.","För närvarande förekommer arten huvudsakligen i kulturpåverkad mark, främst förknippat till jordbruk. Arten är dock konkurrenskraftig även i täta grässvålar (Ekman 1989) och kan med ett varmare klimat ta sig ut i större grad i naturliga kalkrika gräsmarker och potentiellt även alvarmark.",yes,yes,,Terrester,"POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-09-09]
Hartvig, P. (2015). Atlas Flora Danica. Köpenhamn: Gyldendal.
Andersson, U.-B. & Gunnarsson, T. (2024). Ölands flora. Uppsala: SBF-förlag.
Ekman, J. (1989). Sloklosta Bromus sitchensis och plattlosta B. willdenowii i Sverige. Svensk Botanisk Tidskrift 83(2).
Tyler, T., Johansson, H., Olsson, K.-A. & Sonesson, M. (2007). Floran i Skåne. Arterna och deras utbredning. Lund: Lunds botaniska förening.
GBIF Secretariat (2023). GBIF Backbone Taxonomy. Checklist dataset. https://doi.org/10.15468/39omei  [2024-09-06]
Kurtto, A., Lampinen, R., Piirainen, M. & Uotila, P. (2019). Checklist of the vascular plants of Finland - Suomen putkilokasvien luettelo (Norrlinia 34). Helsinki: Luonnontieteellinen keskusmuseo LUOMUS Finnish Museum of Natural History.
CABI (2024). Invasive Species Compendium. Wallingford, UK: CAB International. https://www.cabidigitallibrary.org/  [2024-09-09]
Mossberg, B. & Stenberg, L. (2003). Den nya nordiska floran. Stockholm: Wahlström & Widstrand.
SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-09]"
Övriga organismer,6011532,Ceratocystis fagacearum,(Bretz) J.Hunt,,Dörrknackare,En utredning av artens ursprung i central- och sydamerika alternativt Mexiko finns i Juzwik et al 2008.,HI,"4A,2D","Ceratocystis fagacearum, vissnesjuka på ek omfattar stora skador på ek i USA. Även om arten främst orsakar skada på rödek, är det sannolikt att inhemska ekarterna skogsek Q. robur och bergek Q. petrea är mottagliga. Skulle arten etableras i Sverige finns stor risk att den kan orsaka stora skador i ekskogar.","Det är osäkert hur effektivt arten skulle överleva och spridas i Sverige, men om den har möjlighet att spridas med insektsvektorer har arten högre invasionspotential då den både kan spridas med sporer och barkborrar.","Arten orsakar vissnesjuka, likt t.ex. askskottsjuka, som innebär att vattentransporten i värdträdet hämmas.",no,no,,Terrester,"EPPO Secretariat (2015). Rapid Pest Risk Analysis (PRA) for Ceratocystis fagacearum. https://secure.fera.defra.gov.uk/phiw/riskRegister/planthealth/pest-risk-analysis-consultations.cfm 
EFSA PLH Panel (EFSA Panel on Plant Health) (2018). Scientific Opinion on the pest categorisation of Bretziella fagacearum.  EFSA Journal 16(2), 30.  https://doi.org/10.2903/j.efsa.2018.5185
Juzwik, J., Harrington, T.C., MacDonald, W.L. & Appel, D.N. (2008). The Origin of Ceratocystis fagacearum, the Oak Wilt Fungus. Annual Review of Phytopathology 46, 13–26.  https://doi.org/10.1146/annurev.phyto.45.062806.094406"
Kärlväxter,6329669,Ceratopteris thalictroides,(L.) Brongn.,smal vattenbräken,Dörrknackare,,NK,"1,1","Smal vattenbräken är en semi-akvatisk ettårig ormbunke, som kan bli 70 cm hög. Gaffelgrenad och påminner om en alg, eller köttig landormbunke. Den förekommer bland annat som ""ogräs"" i ris- och taroodlingar.",Troligen kan smal vattenbräken etablera sig i Sverige de närmaste 50 åren.,Det är oklart vilken effekt arten skulle ha på svensk biologisk mångfald ifall smal vattenbräken skulle kunna etablera sig i framtiden.,,,,Limnisk,"CABI (2024). CABI Compendium. Wallingford, UK: CAB International. - Invasive Species. https://www.cabidigitallibrary.org/product/QI  [2024-04-08]
Kew Royal Botanic Gardens (red.) (2023). Plants of the World Online. https://powo.science.kew.org/  [2023-01-01]"
Kärlväxter,259656,Cercidiphyllum japonicum,Siebold & Zucc.ex J. J. Hoffm. & Schult. f.,katsura,Främmande art,,PH,"4A,1","Litet träd med karakteristiska bald. Flera rapporter indikerar småträd, eventuell fröspridning eller rotskott.","Katsurea har en hög spridningspotential, och kommer troligen att spridas mer vid ett gynnsammare klimat.",Ingen känd effekt på biologisk mångfald.,yes,yes,,Terrester,"SLU Artdatabanken (2024). Fynddata. https://fynddata.artdatabanken.se  [2024-09-09]
POWO (2024). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. https://powo.science.kew.org   [2024-09-09]"
